16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\css\vpn-vendor-1.0.0.min.css
16:48:45    Create Folder      C:\Program Files (x86)\Avira\VPN\App\fonts
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-TJH9A.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\avira-icons-regular-webfont.eot
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-DI2P2.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\avira-icons-regular-webfont.ttf
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-36VPU.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\avira-icons-regular-webfont.woff
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-8MKPL.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\ionicons.eot
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-LBP0G.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\ionicons.svg
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-I7UBV.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\ionicons.ttf
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-42IJJ.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\ionicons.woff
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-G2V0V.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\KievitCompPro.woff
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-CS983.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\KievitWeb-Light.eot
16:48:45    Create File        C:\Program Files (x86)\Avira\VPN\App\fonts\is-KS10S.tmp
16:48:45    Rename File        C:\Program Files (x86)\Avira\VPN\App\fonts\KievitWeb-Light.woff
